pt,en,domain,source,note
moeda corrente,currency; current money.,legal-general,Noronha,
moeda de capacidade aquisitiva constante; moeda forte,hard currency,legal-general,Noronha,
moeda de curso legal,legal tender.,legal-general,Noronha,
moeda de curso livre,freely conventible currency.,legal-general,Noronha,
moeda de privatização,scrip,legal-general,Noronha,
moeda divisionária,legal tender,legal-general,Noronha,
moeda envilecida,debased currency.,legal-general,Noronha,
moeda estrangeira,foreign currency,competition+legal-general,CADE+Noronha,
moeda estrangeira,foreign currency.,legal-general,Noronha,
moeda falsa,counterfeit money.,legal-general,Noronha,
moeda fiduciária,bond.,legal-general,Noronha,
moeda forte,hard currency,legal-general,Noronha,
moeda forte,hard currency.,legal-general,Noronha,
moeda fraca,soft currency.,legal-general,Noronha,
moeda histórica,historical cost,legal-general,Noronha,
moeda inconversível,convertible currency,legal-general,Noronha,
moeda inconversível,nonconvertible currency; soft currency.,legal-general,Noronha,
moeda legal,legal tender.,legal-general,Noronha,
moeda nacional,domestic currency,legal-general,Noronha,
moeda papel,paper money.,legal-general,Noronha,
moeda podre,highly devalued federal government debt,legal-general,Noronha,
moeda principal,legal tender.,legal-general,Noronha,
moeda sonante,currency.,legal-general,Noronha,
moeda sonante,hard cash,legal-general,Noronha,
moeda volátil,volatile currency.,legal-general,Noronha,
moedeiro,coiner; minter.,legal-general,Noronha,
mofatra,fraud; false pretenses.,legal-general,Noronha,
moldagem,molding; casting.,legal-general,Noronha,
molde para cuias de zn e guilhotina manual p/ barras,mold for zn calabash gourd and manual guillotine for bars,legal-general,Noronha,
moldes para anodos,molds for anodes,legal-general,Noronha,
molliter manus imposuit (latim),defesa em ação por lesões corporais em que o acusado alega que tocou a vítima apenas para evitar a luta,legal-general,Noronha,
molten steel,aço líquido,legal-general,Noronha,
moléstia,disease; sickness; illness.,legal-general,Noronha,
moléstia profissional,occupational disease.,legal-general,Noronha,
moléstia profissional,professional disease; occupational disease,legal-general,Noronha,
momento,moment.,legal-general,Noronha,
momento,tining,legal-general,Noronha,
momento da perfeição do negócio jurídico P),moment of the completion of a legal act.,legal-general,Noronha,
Momento Legislativo BR),newspaper of the union of state deputies.,legal-general,Noronha,
monarca,monarch; sovereign.,legal-general,Noronha,
monarquia,monarchy.,legal-general,Noronha,
Monetariamente ajustado,Duly restated,legal-mixed,TIPS,
monetary adjustment,correção monetária,competition,CADE,
monetary authority,autoridade monetária,legal-general,Noronha,
monetário,monetary.,legal-general,Noronha,
money,montante,legal-general,Noronha,
money supply,base monetária,legal-general,Noronha,
monitor,monitor.,legal-general,Noronha,
Monitoramento de condutas,Conduct oversight,competition,CADE,
monitoramento de programas governamentais,monitoring of government programmes,competition,CADE,
monocracia,monocracy.,legal-general,Noronha,
monogamia,monogamy.,legal-general,Noronha,
monografia,monograph.,legal-general,Noronha,
monogâmico,monogamic.,legal-general,Noronha,
monomania,monomania.,legal-general,Noronha,
monometalismo,monometalism.,legal-general,Noronha,
monopolista hipotético,hypothetical monopolist,competition,CADE,
monopolizar,to monopolize; corner.,legal-general,Noronha,
monopoly,monopólio,legal-general,Noronha,
monopsônio,monopsony,competition,CADE,
monopólio,monopoly.,legal-general,Noronha,
monopólio legal P),legal monopoly.,legal-general,Noronha,
monopólios temporários,temporary monopolies,competition,CADE,
monorail,monotrilho,legal-general,Noronha,
monsenhor,monsignor.,legal-general,Noronha,
monstro,monster.,legal-general,Noronha,
monta,sum; amount; cost.,legal-general,Noronha,
montadora,automobile industry; automaker,legal-general,Noronha,
montagem de máquinas,to assemble machine,legal-general,Noronha,
montante,sum; amount; total.,legal-general,Noronha,
monte,decendent's estate.,legal-general,Noronha,
monte-mor,gross estate.,legal-general,Noronha,
montepio,widow's fund; pension fund; mutual pension society.,legal-general,Noronha,
monumento,monument; memorial.,legal-general,Noronha,
monumento de arte,monument of art.,legal-general,Noronha,
monumento histórico,historic monument.,legal-general,Noronha,
monumentos naturais,natural monuments.,legal-general,Noronha,
monógamo,monogamous.,legal-general,Noronha,
"moonlighting, double-jobbing, working a second job in addition to one’s regular",trabalhar em dois empregos,legal-general,Noronha,
mooring berth,berço de atracação,legal-general,Noronha,
mooring dolphins,dolfins de atracação,legal-general,Noronha,
mooring lanes,raias estacionárias,legal-general,Noronha,
"mooring pier, docking pier",cais acostável,legal-general,Noronha,
moot case,ação simulada,legal-general,Noronha,
moot court,júri simulado,legal-general,Noronha,
mora,culpable delay; culpable default; arrears.,legal-general,Noronha,
mora,default; arrears,legal-general,Noronha,
mora do credor,culpable delay of the creditor.,legal-general,Noronha,
mora do devedor,culpable delay of the debtor; payment in arrears.,legal-general,Noronha,
morada,dwelling; abode; home; residence.,legal-general,Noronha,
moradia,dwelling; home; residence.,legal-general,Noronha,
morador,resident; dweller.,legal-general,Noronha,
moral,moral; ethical.,legal-general,Noronha,
moral,phychological effect (efeito moral),legal-general,Noronha,
"moral consideration, moral obligation",obrigação moral,legal-general,Noronha,
moral duress; moral coercion; under influence,coação moral,legal-general,Noronha,
moral hazard,risco moral,legal-general,Noronha,
moral pública,public morality.,legal-general,Noronha,
moral rights,direitos morais,legal-general,Noronha,
moral turpitude,torpeza moral,legal-general,Noronha,
moralidade,morality.,legal-general,Noronha,
morango,strawberry,legal-general,Noronha,
moratorium,moratória,legal-general,Noronha,
moratória,default fine,legal-general,Noronha,
moratória,moratorium.,legal-general,Noronha,
moratória,moratorium; standstill,legal-general,Noronha,
moratória unilateral,blanket moratorium,legal-general,Noronha,
moratório,moratory; delaying.,legal-general,Noronha,
mordomia,perks; perquisite.,legal-general,Noronha,
mordomias,perks,legal-general,Noronha,
mordomo,major-domo; butler; steward.,legal-general,Noronha,
morfinomania,morphinomania.,legal-general,Noronha,
morgado,first-born son; heir of an entail.,legal-general,Noronha,
morganático,morganatic.,legal-general,Noronha,
moribundo,moribund; dying.,legal-general,Noronha,
morituro,moribund; dying.,legal-general,Noronha,
morning glory spillway,vertedouro tulipa,legal-general,Noronha,
morosidade; marasmo no setor imobiliário,slack in housing,legal-general,Noronha,
mortal,mortal; deadly; lethal; fatal.,legal-general,Noronha,
mortal remains,restos mortais,legal-general,Noronha,
mortalidade,mortality.,legal-general,Noronha,
mortality,mortalidade,legal-general,Noronha,
mortality curve,curva de mortalidade,legal-general,Noronha,
mortality loss,perda estatística de mortalidade,legal-general,Noronha,
mortality profit,ganho estatístico de mortalidade,legal-general,Noronha,
mortality table,tábua de mortalidade,legal-general,Noronha,
mortandade,mortality; death rate.,legal-general,Noronha,
mortar,almofariz,legal-general,Noronha,
mortar,argamassa,legal-general,Noronha,
morte,death; demise; end; extintion.,legal-general,Noronha,
morte acidental,accidental death.,legal-general,Noronha,
morte aparente,apparent death.,legal-general,Noronha,
morte civil,civil death.,legal-general,Noronha,
morte clínica,clinical death.,legal-general,Noronha,
morte criminosa,wrongful death.,legal-general,Noronha,
Morte culposa / Homicídio culposo,Wrongful death,legal-mixed,TIPS,"A cause of action for a wrongful killing, typically brought by family."
morte instantânea,instantaneous death.,legal-general,Noronha,
morte natural,natural death.,legal-general,Noronha,
morte por negligência criminosa,wrongful death.,legal-general,Noronha,
morte presumida,presumed death.,legal-general,Noronha,
morte súbita,sudden death.,legal-general,Noronha,
morte violenta,violent death.,legal-general,Noronha,
"morte, perigo de",risk of death.,legal-general,Noronha,
mortgage,hipoteca,legal-general,Noronha,
mortgage,seguro de hipotecas,legal-general,Noronha,
"mortgage bank (hipoteca), land bank (área rural)",banco hipotecário,legal-general,Noronha,
mortgage bond,letras imobiliárias (obrigação usada para casa própria),legal-general,Noronha,
mortgage foreclosure,"execução de dívida, de hipoteca",legal-general,Noronha,
mortgage loan,empréstimo com garantia hipotecária,legal-general,Noronha,
mortgage loan,empréstimo hipotecário,legal-general,Noronha,
mortgage payments,prestações da casa própria,legal-general,Noronha,
"mortgage satisfactions, termination statements and other recorded or recordable documentation necessary to release all liens or other encumbrances","satisfações de hipotecas, declarações de rescisão e outra documentação registrada, ou que possa ser registrada, necessária para quitação de qualquer ônus ou outros gravames",legal-general,Noronha,
mortgage-bonded deed of acknowledgement,reconhecimento de dívida garantida por hipoteca,legal-general,Noronha,
"mortgagee, secured creditor","credor hipotecário, credor pignoratício",legal-general,Noronha,
"mortgager, mortgagor",devedor hipotecário,legal-general,Noronha,
morticínio,massacre; slaughter.,legal-general,Noronha,
morto,deceased; dead; gone; extinct.,legal-general,Noronha,
mossa (naveg.),dent,legal-general,Noronha,
most favored reinsurer clause,cláusula de mais favorecido,legal-general,Noronha,
most worthy; honourable,Meritíssimo,legal-general,Noronha,
mosteiro,monastery; abbey.,legal-general,Noronha,
mother’s help,casa com crianças pequenas,legal-general,Noronha,
motim,mutiny; riot; disorder; revolt; tumult.,legal-general,Noronha,
motim de presos,prisoner's riot.,legal-general,Noronha,
motion,pedido ao juiz,legal-general,Noronha,
motion carried that the minutes be approved as read,fosse aprovada a ata na forma como foi lida,legal-general,Noronha,
motion for judgement on pleading,pedido ao juiz para julgar o caso,legal-general,Noronha,
motion for new trial,protesto por novo júri,legal-general,Noronha,
motion in limine,pedido por escrito para que certos assuntos não sejam mencionados durante o julgamento,legal-general,Noronha,
motion to dismiss,pedido de indeferimento,legal-general,Noronha,
"motion was made, seconded and carried","moção foi apresentada, endossada/ apoiada e aprovada",legal-general,Noronha,
motivado,motivated.,legal-general,Noronha,
motivar,state the reasons for decision,competition,CADE,
motivar,to motivate; cause; bring about.,legal-general,Noronha,
motivação,motivation,legal-general,Noronha,
motivação,reasoning; motivation.,legal-general,Noronha,
motivação da sentença,statement by judge of rationale for sentence.,legal-general,Noronha,
motivo,cause; motive; reason.,legal-general,Noronha,
motivo grave,serious cause.,legal-general,Noronha,
motivo justo,just cause.,legal-general,Noronha,
motivo torpe,foul motive.,legal-general,Noronha,
"moto próprio, de",of private motive.,legal-general,Noronha,
moto-bomba,moto-pump,legal-general,Noronha,
moto-esmeril de coluna,moto-esmery,legal-general,Noronha,
motor cycle insurance,seguro de motocicletas,legal-general,Noronha,
motor grader,motoniveladora,legal-general,Noronha,
motor third party insurance,seguro de RC para veículos a motor,legal-general,Noronha,
motorvehicle passenger insurance,seguro de passageiros,legal-general,Noronha,
"mould, loam",terra vegetal,legal-general,Noronha,
mouldboard plow,arado a aiveca,legal-general,Noronha,
movable net,rede móvel,legal-general,Noronha,
movable property; personal property; chattels,propriedade móvel,legal-general,Noronha,
movables,"móveis, coisa móvel",legal-general,Noronha,
move x dólares,is worth x dollars,competition,CADE,
move-away disputes,questões sobre mudança de domicílio,legal-general,Noronha,
Mover,Bring a suit,legal-general,Noronha,
mover uma ação,to bring a suit; sue.,legal-general,Noronha,
mover uma ação,to bring an action against,legal-general,Noronha,
movido a gás,gas-fired,legal-general,Noronha,
movimentar,to make withdrawals; use; manage (an account for another); to transact; to operate,legal-general,Noronha,
movimentação de ativos,movement of assets,competition,CADE,
movimentação; manejo,account activity; handling; transaction,legal-general,Noronha,
movimento,motion; movement.,legal-general,Noronha,
movimento de recursos,turnover of funds,legal-general,Noronha,
movimento diário contábil,daily turnover,legal-general,Noronha,
movimento financeiro da sociedade,financial turnover of a company,legal-general,Noronha,
moving premium,adicional de transferência,legal-general,Noronha,
moça,girl; young woman; maiden.,legal-general,Noronha,
moço,young; youthful; juvenile.,legal-general,Noronha,
moção,motion,legal-general,Noronha,
moção,motion; proposition; suggestion.,legal-general,Noronha,
moção de censura P),vote of no confidence.,legal-general,Noronha,
moção de confiança P),confidence vote; confidence motion; vote of confidence.,legal-general,Noronha,
Mr. (not Dr.),Juiz,legal-mixed,TIPS,
muambeiro,shuttle trader,legal-general,Noronha,
muda,change; shift.,legal-general,Noronha,
mudança,change; shift; alteration; modification; removal.,legal-general,Noronha,
mudança de domicílio,change of domicile.,legal-general,Noronha,
mudança de nome,chain of title (patents),legal-general,Noronha,
mudança de nome,change of name.,legal-general,Noronha,
mudança de produto,product changeover,legal-general,Noronha,
mudança de residência,change of residence.,legal-general,Noronha,
mudança de sede,change in address of the corporate headquarters,legal-general,Noronha,
mudança organizacional,organizational change,legal-general,Noronha,
mudar,to shift,legal-general,Noronha,
mudez,muteness; dumbness; silence.,legal-general,Noronha,
mudo,dumb; mute; silent.,legal-general,Noronha,
mufla,muffle,legal-general,Noronha,
"mugging, hold-up , armed robbery",assalto (com violência),legal-general,Noronha,
muita satisfação,it is a distinct pleasure,legal-general,Noronha,
muito menos,let alone,legal-general,Noronha,
mulher,woman; wife.,legal-general,Noronha,
mulher casada,married woman.,legal-general,Noronha,
mulher solteira,spinster; unmarried woman.,legal-general,Noronha,
mullions,janela (tiras verticais que dividem as vidraças de uma janela),legal-general,Noronha,
multa,fine,competition,CADE,
multa,fine; penalty; punitive damages,legal-general,Noronha,
multa,"penalty, fine; merciament.",legal-general,Noronha,
multa civil,civil penalty.,legal-general,Noronha,
multa compensatória,compensatory fine,legal-general,Noronha,
multa contratual,contractual penalty.,legal-general,Noronha,
multa contratual,liquidated damages; contractual penalty,legal-general,Noronha,
multa contratual pré-fixada,liquidated damages,legal-general,Noronha,
multa de atraso,late fine,legal-general,Noronha,
multa de ofício,voluntary penalty; ex-officio fine,legal-general,Noronha,
multa normativa por,pertinent fine due to,legal-general,Noronha,
multa não compensatória,pecuniary fine,legal-general,Noronha,
multa pecuniária,monetary penalty,legal-general,Noronha,
multa penal,punitive fine,legal-general,Noronha,
multa penitencial P),contractual penalty.,legal-general,Noronha,
multa punitiva,punitive fine,legal-general,Noronha,
multar,to fine.,legal-general,Noronha,
multas exemplares,exemplary damages,legal-general,Noronha,
Multas operacionais,Operational goals,legal-mixed,TIPS,
multas por infrações fiscais,tax fines,legal-general,Noronha,
multi-facetado,many-sided,legal-general,Noronha,
multi-level agencies,órgãos intergovernamentais,legal-general,Noronha,
multidão,multitude; crowd; mob; populace.,legal-general,Noronha,
multifarious suit,processo que confunde assuntos diferentes,legal-general,Noronha,
multilateral agencies,órgãos intergovernamentais,legal-general,Noronha,
multinacional,multinational.,legal-general,Noronha,
multiplate settlement gauge,medidor de recalque de placas,legal-general,Noronha,
multiple crimes,acumulação de crimes (Portugal),legal-general,Noronha,
multiple perils insurance for cinemas,seguro de todos os riscos para cinema,legal-general,Noronha,
multiple sites (multiple-site),sites múltiplos (software),legal-general,Noronha,
multiple teeing,multiplação,legal-general,Noronha,
multiplicidade de ações,multiplicity of actions.,legal-general,Noronha,
mundana,prostitute; whore.,legal-general,Noronha,
municipal,local (às vezes),legal-general,Noronha,
municipal,municipal.,legal-general,Noronha,
"Municipal Service Tax, service tax",ISS (Imposto Sobre Serviços),legal-general,Noronha,
municipalidade,municipality; township; town; city.,legal-general,Noronha,
municipalismo,municipalism.,legal-general,Noronha,
município,county,legal-general,Noronha,
município,town; municipality.,legal-general,Noronha,
munificência,munificence.,legal-general,Noronha,
munir,to provide with munition; supply; furnish.,legal-general,Noronha,
munição,munition; ammunition; military supplies.,legal-general,Noronha,
munícipe,townsman; citizen of the town.,legal-general,Noronha,
murder for the purpose of robbery,latrocínio,legal-general,Noronha,
murder in 1st degree,homicídio qualificado,legal-general,Noronha,
muro,wall.,legal-general,Noronha,
mutation,mutação,legal-general,Noronha,
mutação (contab.),change,legal-general,Noronha,
mutações patrimoniais,equity changes,legal-general,Noronha,
mutilar,to mar; deface; mutilate.,legal-general,Noronha,
mutilação,mutilation.,legal-general,Noronha,
mutual agreement,regulamentação convencional. Significa de comum acordo das partes,legal-general,Noronha,
mutual fund,fundo de ações,legal-general,Noronha,
mutual insurance society,mutualidade,legal-general,Noronha,
mutual society,sociedade de mutualidade,legal-general,Noronha,
mutualidade,mutuality; mutual association.,legal-general,Noronha,
mutualista,member of a beneficial association.,legal-general,Noronha,
mutuante,creditor; lender,legal-general,Noronha,
mutuante,lender.,legal-general,Noronha,
mutuar,to lend.,legal-general,Noronha,
mutuatário,mutuary; borrower; person receiving a loan.,legal-general,Noronha,
mutuação,mutualization; borrowing; lending.,legal-general,Noronha,
mutuário,borrower,legal-general,Noronha,
mutuário,borrower.,legal-general,Noronha,
my commission expires,"mandato, comissionamento, exercício do ofício",legal-general,Noronha,
má,bad; evil; wicked; mean; malignant.,legal-general,Noronha,
má ação,bad action.,legal-general,Noronha,
má companhia,bad company.,legal-general,Noronha,
má conduta,malconduct; misconduct.,legal-general,Noronha,
má execução,non performance; misfeasance; miscarriage.,legal-general,Noronha,
má fé,bad faith,competition,CADE,
má reputação,bad name,legal-general,Noronha,
má vontade,unwillingness.,legal-general,Noronha,
má índole,bad nature.,legal-general,Noronha,
má-fama,ill repute.,legal-general,Noronha,
má-fé,bad faith; malicious mischief,legal-general,Noronha,
má-fé,bad-faith; mala fide; malicious motive.,legal-general,Noronha,
má-fé processual P),barratry; malicious litigation.,legal-general,Noronha,
má-prática,bad practice.,legal-general,Noronha,
máfia,mafia.,legal-general,Noronha,
máquina,machine; engine; machinery.,legal-general,Noronha,
máquina de escrever,typing machine,legal-general,Noronha,
máquina de transmissão facsímile,facsimile transmitter,legal-general,Noronha,
máquina para arquear caixas,box arching machine,legal-general,Noronha,
máquina para cortar barras (esta parada),bar cutting machine (stopped),legal-general,Noronha,
máquinas caça-níqueis e vídeo-jogos,slot and video game machines,legal-general,Noronha,
máscaras de oxigênio,oxygen masks,competition,CADE,
máxima,established legal principle; maxim.,legal-general,Noronha,
máxime,principally.,legal-general,Noronha,
máximo,highest; maximum.,legal-general,Noronha,
mãe,mother.,legal-general,Noronha,
mãe adotiva,adoptive mother.,legal-general,Noronha,
mãe biológica,biological mother.,legal-general,Noronha,
mãe legítima,biological mother.,legal-general,Noronha,
mãe natural,biological mother.,legal-general,Noronha,
mão,hand.,legal-general,Noronha,
mão armada,armed robbery.,legal-general,Noronha,
mão de obra,labour,competition,CADE,
mão-de-obra,manpower; labor; manual work on a job.,legal-general,Noronha,
mão-de-obra,manpower; workforce; human resources; labor,legal-general,Noronha,
mão-de-obra não qualificada,nonskilled labor.,legal-general,Noronha,
mão-de-obra não qualificada,unskilled labor,legal-general,Noronha,
mão-de-obra qualificada,skilled labor,legal-general,Noronha,
mão-de-obra qualificada,skilled labor.,legal-general,Noronha,
mão-de-obra semi-especializada,semi-skilled labor,legal-general,Noronha,
média,average; ratio.,legal-general,Noronha,
Média / Média de Pontos,Grade Point Average (GPA),legal-mixed,TIPS,Academic performance measurement.
média anual,annual average,legal-general,Noronha,
média no fechamento,closing average,legal-general,Noronha,
Médico legista,Coroner/Medical examiner,legal-mixed,TIPS,
médico legista,coroner; medical examiner; expert in medical jurisprudence.,legal-general,Noronha,
mérito,merit,legal-general,Noronha,
mérito,merit; grounds of action.,legal-general,Noronha,
mérito,merits,competition,CADE,
mérito da causa P),grounds of action.,legal-general,Noronha,
método de anuidade,annuity method,legal-general,Noronha,
método de depreciação dos juros compostos,compound interest method of depreciation,legal-general,Noronha,
método de equivalência patrimonial,equity accounting method,legal-general,Noronha,
método de escalonamento de cargos,job ranking method,legal-general,Noronha,
método de imersão (met.),hot-dip method,legal-general,Noronha,
método de payback,payoff method,legal-general,Noronha,
método de valor presente líquido,net present-value method,legal-general,Noronha,
método do controle sintético,synthetic control model,competition,CADE,
método seqüencial de desvalorização/depreciação,straight-line method of depreciation,legal-general,Noronha,
mês,month.,legal-general,Noronha,
mês civil,calendar month,legal-general,Noronha,
mês de competência,accrual month,legal-general,Noronha,
mímica,gesticulation.,legal-general,Noronha,
mínimo,least; smallest; minimum.,legal-general,Noronha,
mínimo pago antes de colocar ação à venda,stop-loss order,legal-general,Noronha,
módulo rural,measure of rural land.,legal-general,Noronha,
móveis,meuble; mobilia; furniture; chattel; movable property; personal,legal-general,Noronha,
móveis embutidos,built-ins,legal-general,Noronha,
"Móveis, utensílios e equipamentos","Furniture, fixtures and equipment",legal-mixed,TIPS,
móvel,personal property; personalty; chattel.,legal-general,Noronha,
múnus,duties; function; charge.,legal-general,Noronha,
música ambiente,background music,legal-general,Noronha,
mútua,mutual; reciprocal.,legal-general,Noronha,
mútua de magistrados,magistrates pension funds,legal-general,Noronha,
mútuo,loan,legal-general,Noronha,
mútuo,loan.,legal-general,Noronha,
mútuo consenso,mutual consent.,legal-general,Noronha,
mútuo mercantil,loan; commercial loan.,legal-general,Noronha,
N.A. (Non Allocatur),não é permitido,legal-general,Noronha,
N.A. (Not Applicable),não aplicável,legal-general,Noronha,
N.A. (Not Available),não disponível,legal-general,Noronha,
N.E.I. (Non Est Inventus),não foi encontrado,legal-general,Noronha,
N.L. (Non Liquet),não está claro,legal-general,Noronha,
N.O.V. (Non Obstante Veredicto),a despeito do veredicto,legal-general,Noronha,
"N.P. (Notary Public), commissioner for oaths, attesting notary","Tabelião Público, de Registros, Notário Público",legal-general,Noronha,
na espécie,in this case,legal-general,Noronha,
na forma de artigos,on articulated pleading,legal-general,Noronha,
na fábrica,ex factory,legal-general,Noronha,
na hipótese de,in the event the,legal-general,Noronha,
Na medida em que,To the extent,legal-mixed,TIPS,
na melhor forma de direito,in the best terms of the law; in the due form of the law,legal-general,Noronha,
na mina,ex mine,legal-general,Noronha,
na plantação,ex plantation,legal-general,Noronha,
na posse do imóvel,will be vested in the property,legal-general,Noronha,
na presença,before.,legal-general,Noronha,
Na proporção,Ratably,legal-mixed,TIPS,
na proporção das ações,ratably to the shares,legal-general,Noronha,
na qualidade de sucessora por incorporação,as successor by incorporation,legal-general,Noronha,
na usina,ex mill,legal-general,Noronha,
Nacional,Brazilian,competition,CADE,
nacional,national; domestic.,legal-general,Noronha,
nacional-socialismo,nazism.,legal-general,Noronha,
nacionalidade,nationality; citizenship.,legal-general,Noronha,
nacionalidade adquirida,acquired nationality.,legal-general,Noronha,
nacionalidade da mercadoria,nationality of the goods; origin of the goods.,legal-general,Noronha,
nacionalidade do navio,flag of the ship; origin of the ship.,legal-general,Noronha,
nacionalismo,nationalism.,legal-general,Noronha,
nacionalista,nationalist.,legal-general,Noronha,
nacionalizar,to nationalize.,legal-general,Noronha,
nacionalização,nationalization.,legal-general,Noronha,
nada,nothing.,legal-general,Noronha,
nada consta,nothing or record,legal-general,Noronha,
naked authority,autorização unilateral,legal-general,Noronha,
naked confession,confissão sem confirmação,legal-general,Noronha,
naked possession,"posse nua, sem título",legal-general,Noronha,
naked possession; precarious possession,posse paralela,legal-general,Noronha,
naked possibility,possibilidade remota,legal-general,Noronha,
naked power,"poder absoluto, poder coercitivo",legal-general,Noronha,
naked power,"poder inerente, próprio, absoluto, irrestrito, essencial",legal-general,Noronha,
"naked power, unilateral power",poder unilateral,legal-general,Noronha,
naked promise/ note/ promissory,nudum pactum,legal-general,Noronha,
name,denominação,legal-general,Noronha,
name search,busca prévia,legal-general,Noronha,
name trademark,marca de nome,legal-general,Noronha,
"name, corporate name, corporate denomination",razão social,legal-general,Noronha,
"name, place and stead","nome, lugar e representação (qualificação, vez)",legal-general,Noronha,
named user,usuário nomeado,legal-general,Noronha,
Naquela época,The then,legal-mixed,TIPS,
narcisismo,narcisism.,legal-general,Noronha,
narcoanálise,narcoanalysis.,legal-general,Noronha,
narcotizar,to drug; dope.,legal-general,Noronha,
narcótico,narcotic.,legal-general,Noronha,
narrado,reported.,legal-general,Noronha,
narrar,to report.,legal-general,Noronha,
narrativa,narrative.,legal-general,Noronha,
narração,report; account.,legal-general,Noronha,
nas cláusulas contratuais,in the contractual relationship,legal-general,Noronha,
"nas áreas de (contab., auditoria)",in the fields of,legal-general,Noronha,
nascente,fountainhead; source; rise.,legal-general,Noronha,
nascimento,birth.,legal-general,Noronha,
nascituro,unborn child.,legal-general,Noronha,
natalidade,birth rate; natality.,legal-general,Noronha,
natimorto,stillborn.,legal-general,Noronha,
nation,"nação, país, estado",legal-general,Noronha,
national awareness,divulgação no território,legal-general,Noronha,
"National Industrial Property Institute, National Institute of Industrial Property",Instituto Nacional de Propriedade Industrial (INPI).,legal-general,Noronha,
national insurance,seguro do Estado,legal-general,Noronha,
National Monetary Council,Conselho Monetário Nacional,legal-general,Noronha,
National Treasury Bond,Obrigação do Tesouro Nacional (OTN),legal-general,Noronha,
"National Treasury Readjustable Bond, Indexed Treasury Bonds or Federal Treasury Bonds",Obrigação Reajustável do Tesouro Nacional (ORTN),legal-general,Noronha,
nationalization,nacionalização,legal-general,Noronha,
nationals,cidadãos,legal-general,Noronha,
native born,natural de,legal-general,Noronha,
nativismo,nativism.,legal-general,Noronha,
nativo,native; national; natural; domestic.,legal-general,Noronha,
nato,natural-born; native.,legal-general,Noronha,
natural,natural; native.,legal-general,Noronha,
Natural de,Born in/from,legal-mixed,TIPS,
natural disability,incapacidade de fato,legal-general,Noronha,
natural domicile,domicílio de origem,legal-general,Noronha,
"natural justice, law of nature",direito natural,legal-general,Noronha,
natural person,pessoa natural,legal-general,Noronha,
natural possession,posse natural,legal-general,Noronha,
natural premium,prêmio natural,legal-general,Noronha,
natural terrain,torrão natural,legal-general,Noronha,
natural-born,"nascido em, natural de",legal-general,Noronha,
Naturalidade,City/State of birth,legal-mixed,TIPS,
naturalidade,nationality; origin.,legal-general,Noronha,
naturalizado,naturalized person.,legal-general,Noronha,
naturalizar,to naturalize; nationalize.,legal-general,Noronha,
naturalização,naturalization; nationalization.,legal-general,Noronha,
naturalização coletiva,collective naturalization.,legal-general,Noronha,
naturally immovable,imóveis por natureza,legal-general,Noronha,
natureza,kind,legal-general,Noronha,
natureza,nature; complexion; constitution.,legal-general,Noronha,
natureza da operação,classification of the transaction,legal-general,Noronha,
natureza do(s) documento(s),kind of document(s),legal-general,Noronha,
natureza jurídica,legal nature; legal classification,legal-general,Noronha,
"natureza, organização e competência do cade","organisation, nature, and jurisdiction of cade",competition,CADE,
nau,vessel; ship.,legal-general,Noronha,
naufragar,to wreck; shipwreck; fail; miscarry.,legal-general,Noronha,
naufrágio,ship wreck; failure; ruin; destruction.,legal-general,Noronha,
naval,naval.,legal-general,Noronha,
naval mortgage,"hipoteca do navio, marítima; (Portugal) hipoteca naval",legal-general,Noronha,
navalha,razor; pocket-knife.,legal-general,Noronha,
navalhar,to wound with a razor.,legal-general,Noronha,
nave,nave; ship.,legal-general,Noronha,
navegabilidade,navegability.,legal-general,Noronha,
navegação,navigation.,legal-general,Noronha,
navegação a vapor,steam navigation.,legal-general,Noronha,
navegação aérea,air travel.,legal-general,Noronha,
navegação costeira,coasting trade.,legal-general,Noronha,
navegação de cabotagem,coastal navigation; common navigation.,legal-general,Noronha,
navegação de longo curso,ocean navigation.,legal-general,Noronha,
navegação interior,inland navigation.,legal-general,Noronha,
navegável,navigable.,legal-general,Noronha,
navigation lock,eclusa,legal-general,Noronha,
navio,vessel; ship.,legal-general,Noronha,
navio (M/S),M/S (motor ship),legal-general,Noronha,
navio com carga líquida (M/T),M/T (motor tanker),legal-general,Noronha,
navio com carga seca (M/V),M/V (motor vessel),legal-general,Noronha,
navio de carga geral,liner,legal-general,Noronha,
navio de guerra,warship.,legal-general,Noronha,
navio de recreio,passenger cruiser.,legal-general,Noronha,
navio graneleiro,bulk carrier,legal-general,Noronha,
navio mercante,merchant ship.,legal-general,Noronha,
navio mercante (naveg.),cargo ship,legal-general,Noronha,
navio militar,military ship.,legal-general,Noronha,
navio negreiro,slave ship.,legal-general,Noronha,
navio para minérios e petróleo (o/o),o/o (ore/oil carrier),legal-general,Noronha,
navio para transporte de veículos,roll on/roll off,legal-general,Noronha,
navio vetusto P),unseaworthy ship.,legal-general,Noronha,
navio-tanque,tanker,legal-general,Noronha,
navio-transporte de tropas,troopship.,legal-general,Noronha,
nação,nation.,legal-general,Noronha,
"nação mais favorecida, cláusula da",most favored nation clause.,legal-general,Noronha,
Nações Unidas,United Nations.,legal-general,Noronha,
necessary action,providência necessárias,legal-general,Noronha,
necessary action,providências cabíveis,legal-general,Noronha,
necessary heir,herdeiro legitimário (Portugal),legal-general,Noronha,
