pt,en,domain,source,note
accidental killing; excusable homicide; involutary manslaughter; involutary homicide,"homicídio culposo, preterintencional; (Portugal) homicídio privilegiado",legal-general,Noronha,
accionariado operário P),worker's shares.,legal-general,Noronha,
accommodate,adaptar,legal-general,Noronha,
accommodation endorser,avalista (não recebe para assinar),legal-general,Noronha,
accompanying parties,acompanhantes,legal-general,Noronha,
accord and executory,acordo pendente de execução,legal-general,Noronha,
accord and satisfaction,acordo; novação (novation - da dívida); dação em pagamento (dou meu carro em pagamento da dívida),legal-general,Noronha,
accord and satisfaction,dação em pagamento; pagamento por dação; novação (em algumas jurisdições); composição,legal-general,Noronha,
according to the law; consistent with the law; in compliance with the law; in the form of the law,"conforme a lei, de acordo com a lei",legal-general,Noronha,
account,"conta, liqüidação",legal-general,Noronha,
"account render, action of account, action for accouting",ação de prestação de contas,legal-general,Noronha,
accountability,"prestação de contas, responsabilidade",legal-general,Noronha,
accounting period,exercício social (aniversário da empresa),legal-general,Noronha,
accounting practices,práticas contábeis,legal-general,Noronha,
accounting principles,princípios contábeis,legal-general,Noronha,
accounting year,"ano contábil, exercício contábil",legal-general,Noronha,
accounts receivable,contas a receber,legal-general,Noronha,
accoutning department,departamento contábil,legal-general,Noronha,
accrediting,credenciamento,legal-general,Noronha,
accrual basis,cumulativa (base),legal-general,Noronha,
accruals,acumulações,legal-general,Noronha,
accrued commitment fee,taxa de compromisso acumulada,legal-general,Noronha,
accrued interest,"juros acumulados, juro vencível",legal-general,Noronha,
accrued right,direito consumado,legal-general,Noronha,
accumulated elevation,cota redonda (Dic. Geotecnia),legal-general,Noronha,
accumulation of risk,acumulação de risco,legal-general,Noronha,
accumulation risk,risco de acumulação,legal-general,Noronha,
accumulative legacy,legado adicional,legal-general,Noronha,
accusatory procedure,persecução criminal,legal-general,Noronha,
accused,pronunciado (Dir. Penal),legal-general,Noronha,
"accused, charged",acusado,legal-general,Noronha,
accão de disposição P),possessory action; claim of right; claim for possessory title.,legal-general,Noronha,
acedente,assenting; assenter.,legal-general,Noronha,
aceder,to acquiesce; accede; agree; comply; consent.,legal-general,Noronha,
acedência,assent; agreement; accordance.,legal-general,Noronha,
acefalia,lack of leadership; headlessness.,legal-general,Noronha,
aceitador,acceptor; endorser.,legal-general,Noronha,
aceitante,acceptor; receiver.,legal-general,Noronha,
aceitante (letra de câmbio),acceptor; taker,legal-general,Noronha,
aceitante de honra,acceptor supra protest.,legal-general,Noronha,
aceitar,to accept; admit; consent; permit.,legal-general,Noronha,
aceitar,to accept; to affirm; acknowledge; agree; to confirm,legal-general,Noronha,
aceitação,acceptance,competition,CADE,
aceitação,acceptance; acceptance bill; approval; approbation; concurrence.,legal-general,Noronha,
aceitação abonada,accommodation acceptance.,legal-general,Noronha,
aceitação da doação,acceptance of donation.,legal-general,Noronha,
aceitação da letra de câmbio,acceptance of bill of exchange.,legal-general,Noronha,
aceitação de ... (encomenda),agreement to ...,legal-general,Noronha,
aceitação do contrato P),acceptance of contract; acceptance by the party that signs last.,legal-general,Noronha,
aceitação em fábrica,factory acceptance,legal-general,Noronha,
aceitação expressa,express acceptance.,legal-general,Noronha,
aceitação tácita,tacit acceptance.,legal-general,Noronha,
aceitação; liberalidade,forbearance,legal-general,Noronha,
aceite,acceptance.,legal-general,Noronha,
aceite (cambial),acceptance,legal-general,Noronha,
aceite bancário,banker's acceptance.,legal-general,Noronha,
aceite comercial,commercial acceptance.,legal-general,Noronha,
aceite comercial,trade acceptance.,legal-general,Noronha,
aceite em branco,blank acceptance,legal-general,Noronha,
